instance,seed,umm_m_ini,budgetMM,r_1,r_2,budget,eval_ranks,fitness
pfsp/rec05.txt,6,10,,0.4,0.6,400,0,1342.0
pfsp/rec05.txt,7,10,,0.4,0.6,400,0,1302.0
pfsp/rec05.txt,8,10,,0.4,0.6,400,0,1356.0
pfsp/rec05.txt,9,10,,0.4,0.6,400,0,1375.0
pfsp/rec05.txt,1,10,,0.4,0.7,400,0,1308.0
pfsp/rec05.txt,10,10,,0.4,0.7,400,0,1332.0
pfsp/rec05.txt,2,10,,0.4,0.7,400,0,1343.0
pfsp/rec05.txt,3,10,,0.4,0.7,400,0,1332.0
pfsp/rec05.txt,4,10,,0.4,0.7,400,0,1348.0
pfsp/rec05.txt,5,10,,0.4,0.7,400,0,1310.0
pfsp/rec05.txt,6,10,,0.4,0.7,400,0,1290.0
pfsp/rec05.txt,7,10,,0.4,0.7,400,0,1336.0
pfsp/rec05.txt,8,10,,0.4,0.7,400,0,1322.0
pfsp/rec05.txt,9,10,,0.4,0.7,400,0,1341.0
pfsp/rec05.txt,1,10,,0.4,0.8,400,0,1313.0
pfsp/rec05.txt,10,10,,0.4,0.8,400,0,1330.0
pfsp/rec05.txt,2,10,,0.4,0.8,400,0,1381.0
pfsp/rec05.txt,3,10,,0.4,0.8,400,0,1296.0
pfsp/rec05.txt,4,10,,0.4,0.8,400,0,1344.0
pfsp/rec05.txt,5,10,,0.4,0.8,400,0,1307.0
pfsp/rec05.txt,6,10,,0.4,0.8,400,0,1296.0
pfsp/rec05.txt,7,10,,0.4,0.8,400,0,1327.0
pfsp/rec05.txt,8,10,,0.4,0.8,400,0,1300.0
pfsp/rec05.txt,9,10,,0.4,0.8,400,0,1350.0
pfsp/rec05.txt,1,10,,0.4,0.9,400,0,1303.0
pfsp/rec05.txt,10,10,,0.4,0.9,400,0,1296.0
pfsp/rec05.txt,2,10,,0.4,0.9,400,0,1303.0
pfsp/rec05.txt,3,10,,0.4,0.9,400,0,1318.0
pfsp/rec05.txt,4,10,,0.4,0.9,400,0,1375.0
pfsp/rec05.txt,5,10,,0.4,0.9,400,0,1275.0
pfsp/rec05.txt,6,10,,0.4,0.9,400,0,1279.0
pfsp/rec05.txt,7,10,,0.4,0.9,400,0,1275.0
pfsp/rec05.txt,8,10,,0.4,0.9,400,0,1292.0
pfsp/rec05.txt,9,10,,0.4,0.9,400,0,1265.0
pfsp/rec05.txt,1,10,,0.4,0.99,400,0,1273.0
pfsp/rec05.txt,10,10,,0.4,0.99,400,0,1286.0
pfsp/rec05.txt,2,10,,0.4,0.99,400,0,1266.0
pfsp/rec05.txt,3,10,,0.4,0.99,400,0,1281.0
pfsp/rec05.txt,4,10,,0.4,0.99,400,0,1275.0
pfsp/rec05.txt,5,10,,0.4,0.99,400,0,1283.0
pfsp/rec05.txt,6,10,,0.4,0.99,400,0,1281.0
pfsp/rec05.txt,7,10,,0.4,0.99,400,0,1281.0
pfsp/rec05.txt,8,10,,0.4,0.99,400,0,1299.0
pfsp/rec05.txt,9,10,,0.4,0.99,400,0,1281.0
pfsp/rec05.txt,1,10,,0.5,0.6,400,0,1390.0
pfsp/rec05.txt,10,10,,0.5,0.6,400,0,1412.0
pfsp/rec05.txt,2,10,,0.5,0.6,400,0,1393.0
pfsp/rec05.txt,3,10,,0.5,0.6,400,0,1407.0
pfsp/rec05.txt,4,10,,0.5,0.6,400,0,1405.0
pfsp/rec05.txt,5,10,,0.5,0.6,400,0,1356.0
pfsp/rec05.txt,6,10,,0.5,0.6,400,0,1324.0
pfsp/rec05.txt,7,10,,0.5,0.6,400,0,1348.0
pfsp/rec05.txt,8,10,,0.5,0.6,400,0,1374.0
pfsp/rec05.txt,9,10,,0.5,0.6,400,0,1365.0
pfsp/rec05.txt,1,10,,0.5,0.7,400,0,1349.0
pfsp/rec05.txt,10,10,,0.5,0.7,400,0,1399.0
pfsp/rec05.txt,2,10,,0.5,0.7,400,0,1355.0
pfsp/rec05.txt,3,10,,0.5,0.7,400,0,1327.0
