instance,seed,umm_m_ini,budgetMM,r_1,r_2,budget,eval_ranks,fitness
qap/kra30a.dat,6,10,10,0.4,0.6,400,0,119270.0
qap/kra30a.dat,7,10,10,0.4,0.6,400,0,120620.0
qap/kra30a.dat,8,10,10,0.4,0.6,400,0,117600.0
qap/kra30a.dat,9,10,10,0.4,0.6,400,0,121330.0
qap/kra30a.dat,10,10,10,0.4,0.7,400,0,116030.0
qap/kra30a.dat,1,10,10,0.4,0.7,400,0,121790.0
qap/kra30a.dat,2,10,10,0.4,0.7,400,0,121330.0
qap/kra30a.dat,3,10,10,0.4,0.7,400,0,118650.0
qap/kra30a.dat,4,10,10,0.4,0.7,400,0,121190.0
qap/kra30a.dat,5,10,10,0.4,0.7,400,0,119570.0
qap/kra30a.dat,6,10,10,0.4,0.7,400,0,114150.0
qap/kra30a.dat,7,10,10,0.4,0.7,400,0,121320.0
qap/kra30a.dat,8,10,10,0.4,0.7,400,0,118680.0
qap/kra30a.dat,9,10,10,0.4,0.7,400,0,121370.0
qap/kra30a.dat,10,10,10,0.4,0.8,400,0,118420.0
qap/kra30a.dat,1,10,10,0.4,0.8,400,0,122200.0
qap/kra30a.dat,2,10,10,0.4,0.8,400,0,120800.0
qap/kra30a.dat,3,10,10,0.4,0.8,400,0,116330.0
qap/kra30a.dat,4,10,10,0.4,0.8,400,0,118260.0
qap/kra30a.dat,5,10,10,0.4,0.8,400,0,108730.0
qap/kra30a.dat,6,10,10,0.4,0.8,400,0,120640.0
qap/kra30a.dat,7,10,10,0.4,0.8,400,0,116590.0
qap/kra30a.dat,8,10,10,0.4,0.8,400,0,120970.0
qap/kra30a.dat,9,10,10,0.4,0.8,400,0,115450.0
qap/kra30a.dat,10,10,10,0.4,0.9,400,0,118860.0
qap/kra30a.dat,1,10,10,0.4,0.9,400,0,114870.0
qap/kra30a.dat,2,10,10,0.4,0.9,400,0,118950.0
qap/kra30a.dat,3,10,10,0.4,0.9,400,0,116560.0
qap/kra30a.dat,4,10,10,0.4,0.9,400,0,120040.0
qap/kra30a.dat,5,10,10,0.4,0.9,400,0,116520.0
qap/kra30a.dat,6,10,10,0.4,0.9,400,0,117180.0
qap/kra30a.dat,7,10,10,0.4,0.9,400,0,118300.0
qap/kra30a.dat,8,10,10,0.4,0.9,400,0,111940.0
qap/kra30a.dat,9,10,10,0.4,0.9,400,0,120440.0
qap/kra30a.dat,10,10,10,0.1,0.6,400,0,113320.0
qap/kra30a.dat,1,10,10,0.1,0.6,400,0,116240.0
qap/kra30a.dat,2,10,10,0.1,0.6,400,0,113020.0
qap/kra30a.dat,3,10,10,0.1,0.6,400,0,112900.0
qap/kra30a.dat,4,10,10,0.1,0.6,400,0,115200.0
qap/kra30a.dat,5,10,10,0.1,0.6,400,0,120500.0
qap/kra30a.dat,6,10,10,0.1,0.6,400,0,119510.0
qap/kra30a.dat,7,10,10,0.1,0.6,400,0,113750.0
qap/kra30a.dat,8,10,10,0.1,0.6,400,0,116980.0
qap/kra30a.dat,9,10,10,0.1,0.6,400,0,117150.0
qap/kra30a.dat,10,10,10,0.4,0.99,400,0,108160.0
qap/kra30a.dat,1,10,10,0.4,0.99,400,0,118410.0
qap/kra30a.dat,2,10,10,0.4,0.99,400,0,122740.0
qap/kra30a.dat,3,10,10,0.4,0.99,400,0,116570.0
