,filename,ratio,weight,seed,min
2911,N-t1d100.01,0.5,0.8,4,80113.0
2912,N-t1d100.02,0.2,0.7,0,80143.0
2913,N-t1d100.02,0.5,0.9,6,80157.0
2914,N-t1d100.02,0.1,0.6,0,80160.0
2915,N-t1d100.01,0.4,0.8,4,80164.0
2916,N-t1d100.01,0.4,0.8,2,80196.0
2917,N-t1d100.01,0.2,0.7,8,80198.0
2918,N-t1d100.01,0.2,0.7,2,80202.0
2919,N-t1d100.02,0.1,0.6,4,80206.0
2920,N-t1d100.01,0.3,0.7,2,80224.0
2921,N-t1d100.01,0.4,0.8,8,80230.0
2922,N-t1d100.02,0.4,0.8,2,80236.0
2923,N-t1d100.01,0.3,0.8,5,80248.0
2924,N-t1d100.02,0.2,0.6,4,80260.0
2925,N-t1d100.02,0.5,0.8,1,80349.0
2926,N-t1d100.01,0.5,0.8,2,80404.0
2927,N-t1d100.01,0.4,0.7,8,80406.0
2928,N-t1d100.02,0.3,0.7,0,80443.0
2929,N-t1d100.02,0.5,0.9,7,80448.0
2930,N-t1d100.01,0.5,0.8,3,80461.0
2931,N-t1d100.01,0.3,0.6,9,80487.0
2932,N-t1d100.02,0.2,0.6,3,80547.0
2933,N-t1d100.02,0.2,0.7,3,80603.0
2934,N-t1d100.02,0.2,0.6,0,80610.0
2935,N-t1d100.01,0.4,0.6,6,80612.0
2936,N-t1d100.02,0.3,0.7,4,80640.0
2937,N-t1d100.02,0.2,0.8,7,80652.0
2938,N-t1d100.02,0.5,0.8,8,80656.0
2939,N-t1d100.01,0.4,0.7,6,80656.0
2940,N-t1d100.01,0.5,0.8,6,80695.0
2941,N-t1d100.01,0.2,0.6,2,80705.0
2942,N-t1d100.02,0.3,0.6,1,80762.0
2943,N-t1d100.02,0.5,0.7,5,80786.0
2944,N-t1d100.02,0.3,0.6,8,80820.0
2945,N-t1d100.01,0.2,0.6,5,80850.0
2946,N-t1d100.02,0.1,0.8,3,80872.0
2947,N-t1d100.02,0.2,0.6,2,80900.0
2948,N-t1d100.01,0.4,0.6,4,80938.0
2949,N-t1d100.01,0.3,0.6,0,80948.0
2950,N-t1d100.02,0.5,0.9,0,80948.0
2951,N-t1d100.01,0.2,0.6,8,81039.0
2952,N-t1d100.01,0.3,0.6,5,81054.0
2953,N-t1d100.01,0.5,0.9,7,81075.0
2954,N-t1d100.02,0.5,0.8,6,81084.0
2955,N-t1d100.02,0.4,0.6,1,81085.0
2956,N-t1d100.01,0.4,0.7,2,81091.0
2957,N-t1d100.01,0.2,0.7,7,81113.0
2958,N-t1d100.01,0.3,0.6,6,81142.0
2959,N-t1d100.02,0.5,0.7,8,81153.0
2960,N-t1d100.02,0.4,0.9,3,81167.0
2961,N-t1d100.01,0.4,0.7,0,81168.0
2962,N-t1d100.01,0.4,0.8,7,81179.0
2963,N-t1d100.02,0.4,0.7,8,81188.0
2964,N-t1d100.01,0.5,0.7,2,81203.0
2965,N-t1d100.01,0.3,0.7,0,81238.0
2966,N-t1d100.02,0.4,0.7,9,81278.0
2967,N-t1d100.01,0.3,0.7,7,81377.0
2968,N-t1d100.02,0.4,0.8,4,81397.0
2969,N-t1d100.02,0.3,0.7,7,81400.0
2970,N-t1d100.02,0.4,0.7,1,81426.0
2971,N-t1d100.02,0.3,0.7,3,81431.0
2972,N-t1d100.01,0.3,0.6,3,81452.0
2973,N-t1d100.02,0.4,0.7,3,81471.0
2974,N-t1d100.02,0.5,0.8,0,81554.0
2975,N-t1d100.02,0.4,0.8,7,81578.0
2976,N-t1d100.01,0.3,0.6,8,81593.0
2977,N-t1d100.01,0.4,0.6,3,81631.0
2978,N-t1d100.02,0.5,0.6,5,81662.0
2979,N-t1d100.01,0.4,0.6,9,81724.0
2980,N-t1d100.02,0.2,0.7,7,81732.0
2981,N-t1d100.02,0.4,0.6,5,81771.0
2982,N-t1d100.02,0.5,0.8,3,81786.0
2983,N-t1d100.01,0.5,0.7,9,81793.0
2984,N-t1d100.01,0.5,0.7,3,81832.0
2985,N-t1d100.02,0.3,0.7,2,81837.0
2986,N-t1d100.01,0.5,0.8,8,81852.0
2987,N-t1d100.01,0.4,0.6,2,81923.0
2988,N-t1d100.01,0.5,0.8,7,81936.0
2989,N-t1d100.01,0.4,0.7,3,81941.0
2990,N-t1d100.02,0.5,0.8,9,81953.0
2991,N-t1d100.02,0.5,0.8,2,81958.0
2992,N-t1d100.01,0.5,0.6,4,81982.0
2993,N-t1d100.01,0.5,0.8,0,81999.0
2994,N-t1d100.01,0.5,0.8,5,82013.0
2995,N-t1d100.01,0.5,0.7,0,82061.0
2996,N-t1d100.01,0.3,0.6,7,82069.0
2997,N-t1d100.01,0.5,0.6,1,82202.0
2998,N-t1d100.02,0.5,0.7,4,82216.0
2999,N-t1d100.02,0.3,0.6,0,82288.0
3000,N-t1d100.02,0.4,0.6,9,82326.0
3001,N-t1d100.01,0.5,0.7,6,82342.0
3002,N-t1d100.02,0.4,0.7,6,82368.0
3003,N-t1d100.02,0.2,0.6,7,82391.0
3004,N-t1d100.02,0.3,0.6,3,82395.0
3005,N-t1d100.02,0.5,0.6,8,82409.0
3006,N-t1d100.02,0.4,0.7,0,82418.0
3007,N-t1d100.01,0.4,0.6,8,82479.0
3008,N-t1d100.02,0.5,0.8,4,82515.0
